article_number,price,source
1315743,30.87,Both (Tabelle1 priority)
1362550,78.73,Both (Tabelle1 priority)
1371325,50.15,Both (Tabelle1 priority)
1390206,59.92,Both (Tabelle1 priority)
1423644,75.35,Both (Tabelle1 priority)
1423681,75.35,Both (Tabelle1 priority)
1423951,66.0,Both (Tabelle1 priority)
1430372,41.58,Both (Tabelle1 priority)
1430382,51.1,Both (Tabelle1 priority)
1431403,72.63,Both (Tabelle1 priority)
1443588,44.0,Both (Tabelle1 priority)
1445473,70.4,Both (Tabelle1 priority)
1446912,61.1,Both (Tabelle1 priority)
1446913,61.1,Both (Tabelle1 priority)
1446949,64.8,Both (Tabelle1 priority)
1446980,64.8,Both (Tabelle1 priority)
1452139,62.59,Both (Tabelle1 priority)
1452142,85.77,Both (Tabelle1 priority)
1452206,54.48,Both (Tabelle1 priority)
1453221,50.15,Both (Tabelle1 priority)
1455106,84.0,Both (Tabelle1 priority)
1463460,61.1,Both (Tabelle1 priority)
1464833,63.92,Both (Tabelle1 priority)
1469283,49.28,Both (Tabelle1 priority)
1482167,50.15,Both (Tabelle1 priority)
1482454,68.77,Both (Tabelle1 priority)
1482474,72.63,Both (Tabelle1 priority)
1482722,72.63,Both (Tabelle1 priority)
1482908,58.73,Both (Tabelle1 priority)
1482931,68.77,Both (Tabelle1 priority)
1482949,72.63,Both (Tabelle1 priority)
1482953,72.63,Both (Tabelle1 priority)
1482955,72.63,Both (Tabelle1 priority)
1483783,50.15,Both (Tabelle1 priority)
1484574,50.15,Both (Tabelle1 priority)
1492308,54.32000000000001,Both (Tabelle1 priority)
1499311,21.33,Both (Tabelle1 priority)
1505944,40.67,Both (Tabelle1 priority)
1506550,68.845,Both (Tabelle1 priority)
1509586,58.32000000000001,Both (Tabelle1 priority)
1512057,60.53,Both (Tabelle1 priority)
1512102,54.48,Both (Tabelle1 priority)
1512543,67.56,Both (Tabelle1 priority)
1512709,102.13,Both (Tabelle1 priority)
1512916,61.69,Both (Tabelle1 priority)
1514692,64.74,Both (Tabelle1 priority)
1515338,64.74,Both (Tabelle1 priority)
1515343,70.37,Both (Tabelle1 priority)
1515410,130.3,Both (Tabelle1 priority)
1515467,53.32,Both (Tabelle1 priority)
1515481,53.32,Both (Tabelle1 priority)
1519798,78.0,Both (Tabelle1 priority)
1519799,78.0,Both (Tabelle1 priority)
1522405,50.15,Both (Tabelle1 priority)
1529804,109.2,Both (Tabelle1 priority)
1529806,109.2,Both (Tabelle1 priority)
1530218,27.12,Both (Tabelle1 priority)
1536413,25.81,Both (Tabelle1 priority)
1536723,42.32,Both (Tabelle1 priority)
1538475,130.3,Both (Tabelle1 priority)
1540359,59.92,Both (Tabelle1 priority)
1543828,46.0,Both (Tabelle1 priority)
1543829,46.0,Both (Tabelle1 priority)
1544261,33.705000000000005,Both (Tabelle1 priority)
1546525,82.5,Both (Tabelle1 priority)
1546527,70.4,Both (Tabelle1 priority)
1550053,89.4,Both (Tabelle1 priority)
1552655,70.4,Both (Tabelle1 priority)
1557433,72.63,Both (Tabelle1 priority)
1557441,72.63,Both (Tabelle1 priority)
1557511,72.63,Both (Tabelle1 priority)
1559336,64.74,Both (Tabelle1 priority)
1560281,137.35,Both (Tabelle1 priority)
1560418,116.22,Both (Tabelle1 priority)
1570773,35.2,Both (Tabelle1 priority)
1586945,98.8,Both (Tabelle1 priority)
1589987,42.0,Both (Tabelle1 priority)
1591569,84.23,Both (Tabelle1 priority)
1591593,80.37,Both (Tabelle1 priority)
1591599,84.23,Both (Tabelle1 priority)
1594312,123.26,Both (Tabelle1 priority)
1594316,137.35,Both (Tabelle1 priority)
1594333,130.3,Both (Tabelle1 priority)
1594380,61.92,Both (Tabelle1 priority)
1594442,61.92,Both (Tabelle1 priority)
1595708,123.26,Both (Tabelle1 priority)
1595854,137.35,Both (Tabelle1 priority)
1597066,25.235,Both (Tabelle1 priority)
1603192,49.4,Both (Tabelle1 priority)
1604345,58.2,Both (Tabelle1 priority)
1607879,34.0,Both (Tabelle1 priority)
1607986,34.0,Both (Tabelle1 priority)
1608372,74.18,Both (Tabelle1 priority)
1609518,43.49,Both (Tabelle1 priority)
1610515,21.33,Both (Tabelle1 priority)
1610544,21.33,Both (Tabelle1 priority)
1610655,39.21,Both (Tabelle1 priority)
1610671,39.21,Both (Tabelle1 priority)
1611147,21.33,Both (Tabelle1 priority)
1611614,49.28,Both (Tabelle1 priority)
1611695,39.38,Both (Tabelle1 priority)
1612067,64.74,Both (Tabelle1 priority)
1612070,64.74,Both (Tabelle1 priority)
1612209,124.88,Both (Tabelle1 priority)
1612774,124.88,Both (Tabelle1 priority)
1613502,130.3,Both (Tabelle1 priority)
1613509,70.37,Both (Tabelle1 priority)
1613583,102.13,Both (Tabelle1 priority)
1613751,130.3,Both (Tabelle1 priority)
1613792,124.88,Both (Tabelle1 priority)
1618175,27.685,Both (Tabelle1 priority)
1621008,39.0,Both (Tabelle1 priority)
1622474,151.88,Both (Tabelle1 priority)
1625062,62.32,Both (Tabelle1 priority)
1627743,26.705,Both (Tabelle1 priority)
1627744,26.705,Both (Tabelle1 priority)
1630675,43.66,Both (Tabelle1 priority)
1637618,137.35,Both (Tabelle1 priority)
1637660,56.82,Both (Tabelle1 priority)
1637863,43.66,Both (Tabelle1 priority)
1638006,137.35,Both (Tabelle1 priority)
1638066,87.26,Both (Tabelle1 priority)
1638095,137.35,Both (Tabelle1 priority)
1638172,124.88,Both (Tabelle1 priority)
1638713,21.33,Both (Tabelle1 priority)
1638760,24.53,Both (Tabelle1 priority)
1638921,68.0,Both (Tabelle1 priority)
1639070,137.35,Both (Tabelle1 priority)
1640070,137.35,Both (Tabelle1 priority)
1640114,104.63,Both (Tabelle1 priority)
1640178,151.44,Both (Tabelle1 priority)
1640201,137.35,Both (Tabelle1 priority)
1640208,137.35,Both (Tabelle1 priority)
1640368,124.88,Both (Tabelle1 priority)
1640397,118.12,Both (Tabelle1 priority)
1643903,69.75,Both (Tabelle1 priority)
1643905,69.75,Both (Tabelle1 priority)
1646963,34.0,Both (Tabelle1 priority)
1647599,87.6,Both (Tabelle1 priority)
1650999,37.23,Both (Tabelle1 priority)
1651279,37.73,Both (Tabelle1 priority)
1652407,34.055,Both (Tabelle1 priority)
1654215,105.0,Both (Tabelle1 priority)
1654504,66.0,Both (Tabelle1 priority)
1655413,56.0,Both (Tabelle1 priority)
1655415,56.0,Both (Tabelle1 priority)
1655418,56.0,Both (Tabelle1 priority)
1655521,81.2,Both (Tabelle1 priority)
1655641,71.4,Both (Tabelle1 priority)
1655697,71.4,Both (Tabelle1 priority)
1655718,71.4,Both (Tabelle1 priority)
1655753,58.8,Both (Tabelle1 priority)
1655766,81.2,Both (Tabelle1 priority)
1655805,81.2,Both (Tabelle1 priority)
1655831,62.3,Both (Tabelle1 priority)
1655995,84.0,Both (Tabelle1 priority)
1656009,71.4,Both (Tabelle1 priority)
1659088,39.92,Both (Tabelle1 priority)
1659106,39.92,Both (Tabelle1 priority)
1661003,49.28,Both (Tabelle1 priority)
1661704,51.97,Both (Tabelle1 priority)
1661707,36.47,Both (Tabelle1 priority)
1661738,39.21,Both (Tabelle1 priority)
1662693,50.63,Both (Tabelle1 priority)
1662811,39.38,Both (Tabelle1 priority)
1663135,39.21,Both (Tabelle1 priority)
1663380,124.88,Both (Tabelle1 priority)
1664037,137.35,Both (Tabelle1 priority)
1664374,137.35,Both (Tabelle1 priority)
1664744,124.88,Both (Tabelle1 priority)
1664929,70.37,Both (Tabelle1 priority)
1664990,124.88,Both (Tabelle1 priority)
1665110,70.37,Both (Tabelle1 priority)
